city_code,zip_code,latitude,longitude
ambricourt,62310,50.465978516,2.171348093
ambrief,2200,49.321494733,3.403714795
ambrieres,51290,48.629196609,4.829432778
ambrieres les vallees,53300,48.423016547,-0.624319069
ambrines,62127,50.308008115,2.466395589
ambronay,1500,46.005690539,5.357748739
ambrugeat,19250,45.532517093,2.085393166
ambrumesnil,76550,49.858552892,0.985095361
ambrus,47160,44.230183089,0.246089185
ambutrix,1500,45.936683389,5.332446671
amecourt,27140,49.37726881,1.733450056
amel sur l etang,55230,49.257113525,5.6470179510000005
amelecourt,57170,48.840575844,6.488082196
amelie les bains palalda,66110,42.444016566,2.6832822160000003
amendeuix oneix,64120,43.343817888,-1.042742301
amenoncourt,54450,48.629897893,6.784271028
amenucourt,95510,49.110115197,1.649566256
ames,62190,50.535517273,2.415509988
amettes,62260,50.527103346,2.394372392
ameugny,71460,46.524199753,4.666928533
ameuvelle,88410,47.948917734,5.9520309
amfreville,14860,49.250289443,-0.242084641
amfreville la mi voie,76920,49.404474795,1.124778896
amfreville les champs,76560,49.698092353,0.827063622
amfreville les champs,27380,49.312696905,1.321536936
amfreville sous les monts,27380,49.30232703,1.267574638
amfreville st amand,27370,49.218698918,0.926176229
amfreville sur iton,27400,49.156750042,1.146870286
amfroipret,59144,50.278406354,3.735533467
amiens,80090,49.900410245,2.289706107
amifontaine,2190,49.498637877,3.922881332
amigny,50620,49.156655122,-1.185145361
amigny rouy,2700,49.610759195,3.302789238
amillis,77120,48.735332725,3.135102125
amilly,28300,48.44237425,1.406909861
amilly,45200,47.986510467,2.7825529380000003
amirat,6910,43.896713676,6.812953852
ammerschwihr,68410,48.119691705,7.259891792
amne,72540,48.040547739,-0.043500279
amneville,57360,49.255119947,6.133165215
amoncourt,70170,47.734908873,6.061968876
amondans,25330,47.071496119,6.035189509
amont et effreney,70310,47.867837794,6.562998533
amorots succos,64120,43.362668798,-1.124250607
amou,40330,43.593342475,-0.744139434
ampilly le sec,21400,47.810148413,4.503275679
ampilly les bordes,21450,47.639055718,4.627205952
amplepuis,69550,45.964730332,4.328411964
amplier,62760,50.137232626,2.397179728
amponville,77760,48.287862114,2.530549292
ampriani,20272,42.254069427,9.356980634
ampuis,69420,45.50340929,4.803076894
ampus,83111,43.628565104,6.372011613
amure,79210,46.256854006,-0.60867093
amy,60310,49.641424914,2.832957078
anaa,98760,,
anais,17540,46.175717765,-0.903702862
anais,16560,45.769826577,0.205536667
anan,31230,43.352336076,0.811012747
ance feas,64570,43.158178371,-0.693290335
anceaumeville,76710,49.568937829,1.065459676
ancelle,5260,44.619107267,6.229122478
ancemont,55320,49.065116387,5.382814817
ancenis st gereon,44150,47.379896051,-1.189491302
ancerville,55170,48.639622629,5.023738117
ancerville,57580,49.033172292,6.398366058
ancerviller,54450,48.533723288,6.836834385
ancey,21410,47.333309642,4.822561184
anchamps,8500,49.925011416,4.665777837
anche,86700,46.349674262,0.270460043
anche,37500,47.13228055,0.307346276
anchenoncourt et chazel,70210,47.861679507,6.115346898
ancienville,2600,49.218878777,3.208246989
ancier,70100,47.444244497,5.636250912
ancinnes,72610,48.360275076,0.173500559
ancizan,65440,42.899316821,0.283920163
ancone,26200,44.579727269,4.720685488
ancourt,76370,49.908641304,1.179266953
ancourteville sur hericourt,76560,49.691298556,0.660585022
ancretieville st victor,76760,49.654670779,0.967552488
ancretteville sur mer,76540,49.788676267,0.5041166490000001
anctoville sur boscq,50400,48.845884063,-1.5282228720000002
ancy,69490,45.832347273,4.503836119
ancy dornot,57130,49.06322802,6.045631255
ancy le franc,89160,47.777872522,4.164372183
ancy le libre,89160,47.805868485,4.145083896
andainville,80140,49.891196923,1.784781039
andance,7340,45.228575085,4.797395047
andancette,26140,45.246625023,4.812717032
ande,27430,49.227801894,1.244586862
andechy,80700,49.715505557,2.706837892
andel,22400,48.49410569,-2.551043716
andelain,2800,49.641183256,3.36941838
andelaroche,3120,46.250451343,3.745468978
andelarre,70000,47.590108144,6.09041439
andelarrot,70000,47.578196897,6.097966437
andelat,15100,45.070233689,3.059413009
andelnans,90400,47.603524434,6.865480412
andelot blancheville,52700,48.235255168,5.285576441
andelot en montagne,39110,46.859307701,5.9287358910000005
andelot morval,39320,46.42394772,5.427398813
andelu,78770,48.88775093,1.810612795
andernay,55800,48.783883231,4.953053625
andernos les bains,33510,44.7544456,-1.080648364
anderny,54560,49.335455273,5.880607782
andert et condon,1300,45.787194157,5.657799976
andeville,60570,49.257482215,2.167502732
andillac,81140,44.005098265,1.893601408
andilly,54200,48.767405828,5.887466714
andilly,74350,46.070473974,6.07059616
andilly,17230,46.263407086,-1.017894002
andilly,95580,49.008086762,2.302974318
andilly en bassigny,52360,47.928322058,5.520723908
andiran,47170,44.102108535,0.285766416
andlau,67140,48.390851515,7.384655289999999
andoins,64420,43.300215691,-0.222940052
andolsheim,68280,48.065201697,7.436505178
andon,6750,43.776942181,6.82324955
andonville,45480,48.273983808,2.023804273
andornay,70200,47.658510131,6.598176979
andouille,53240,48.177350193,-0.792482981
andouille neuville,35250,48.297657345,-1.5958135100000002
andouque,81350,44.008089131,2.30274435
andrein,64390,43.399856609,-0.889582462
andres,62340,50.866309354,1.918798821
andrest,65390,43.315699572,0.06574095
andresy,78570,48.981584282,2.04971852
andrezel,77390,48.614335002,2.806723353
andrezieux boutheon,42160,45.535161773,4.276857633
andryes,89480,47.529837195,3.465551376
anduze,30140,44.050761101,3.97434307
aneres,65150,43.076407247,0.464619753
anet,28260,48.852753435,1.442802993
angais,64510,43.238820932,-0.247858813
ange,41400,47.316434338,1.239726054
angeac champagne,16130,45.614173661,-0.288688772
angeac charente,16120,45.622747691,-0.082213685
angecourt,8450,49.635019464,4.977168235
angeduc,16300,45.47816645,-0.05494606
angely,89440,47.560339843,4.011705628
angeot,90150,47.695619442,7.006125002
angers,49000,47.476657084,-0.556221025
angerville,14430,49.244359534,-0.027793551
angerville,91670,48.309573391,2.005568775
angerville bailleul,76110,49.668364763,0.454011851
angerville l orcher,76280,49.58627403,0.291583
angerville la campagne,27930,48.988819076,1.157414318
angerville la martel,76540,49.768538587,0.50199136
angervilliers,91470,48.59080074,2.058514271
angeville,82210,43.993875887,1.031296022
angevillers,57440,49.387744996,6.043350715
angicourt,60940,49.314942575,2.502944649
angiens,76740,49.834019497,0.799571582
angirey,70700,47.455496412,5.773438609
angivillers,60130,49.488627299,2.499034375
anglade,33390,45.211062829,-0.6379774920000001
anglards de salers,15380,45.196815001,2.465337524
anglards de st flour,15100,44.98938069,3.158487426
anglars,46120,44.747738727,1.89897208
anglars juillac,46140,44.486335023,1.208272181
anglars nozac,46300,44.78295856,1.408377654
anglars st felix,12390,44.416128359,2.238448993
anglefort,1350,45.909091467,5.795056945
anglemont,88700,48.376316162,6.668575238
angles,85750,46.387267567,-1.400704724
angles,4170,43.944118651,6.552080036
angles,81260,43.550734683,2.582555705
angles sur l anglin,86260,46.69834001,0.8957036020000001
anglesqueville l esneval,76280,49.629949855,0.235091872
anglesqueville la bras long,76740,49.77858725,0.783324062
anglet,64600,43.490658951,-1.515103364
angliers,17540,46.206140183,-0.948797569
angliers,86330,46.938585279,0.103336696
anglure,51260,48.587830235,3.817415338
anglure sous dun,71170,46.235885987,4.370073623
angluzelles et courcelles,51230,48.665852678,3.905584189
angoisse,24270,45.430361151,1.150554023
angomont,54540,48.504908681,6.972020003
angos,65690,43.198549847,0.162225025
angouleme,16000,45.647372131,0.145140856
angoulins,17690,46.10680996,-1.105718284
angoume,40990,43.69940642,-1.142048034
angous,64190,43.292107548,-0.812056286
angoustrine villeneuve des escaldes,66760,42.564597993,1.950448374
angres,62143,50.410127198,2.751924573
angresse,40150,43.658039615,-1.363898834
